"fecha","coca_cost.Food","coca_cost.quantity","coca_cost.Demo_Group","coca_cost.Sex","coca_cost.cost_day","coca_cost.Cost_1000kcal","scenario"
2017-02-01,Azúcar sulfitada,638.9997,lactantes 19 a 30 años,1,1507.2463,594.1458,"hat"
2017-02-01,Azúcar sulfitada,609.9462,lactantes 31 a 50 años,1,1438.7160,594.1458,"hat"
2017-02-01,Azúcar sulfitada,279.7516,1 a 3 años,0, 659.8665,594.1458,"hat"
2017-02-01,Azúcar sulfitada,361.8144,4 a 8 años,0, 853.4328,594.1458,"hat"
2017-02-01,Azúcar sulfitada,505.4427,9 a 13 años,0,1192.2174,594.1458,"hat"
2017-02-01,Azúcar sulfitada,691.8723,14 a 18 años,0,1631.9599,594.1458,"hat"
2017-02-01,Azúcar sulfitada,710.2093,19 a 30 años,0,1675.2125,594.1458,"hat"
2017-02-01,Azúcar sulfitada,672.7691,31 a 50 años,0,1586.9002,594.1458,"hat"
2017-02-01,Azúcar sulfitada,546.8919,51 a 70 años,0,1289.9862,594.1458,"hat"
2017-02-01,Azúcar sulfitada,510.2502,>70 años,0,1203.5571,594.1458,"hat"
2017-02-01,Azúcar sulfitada,256.7016,1 a 3 años,1, 563.1603,552.6026,"lwr"
2017-02-01,Azúcar sulfitada,331.6302,4 a 8 años,1, 727.5410,552.6026,"lwr"
2017-02-01,Azúcar sulfitada,456.2234,9 a 13 años,1,1000.8777,552.6026,"lwr"
2017-02-01,Azúcar sulfitada,532.2268,14 a 18 años,1,1167.6164,552.6026,"lwr"
2017-02-01,Azúcar sulfitada,511.7957,19 a 30 años,1,1122.7939,552.6026,"lwr"
2017-02-01,Azúcar sulfitada,482.7422,31 a 50 años,1,1059.0554,552.6026,"lwr"
2017-02-01,Azúcar sulfitada,438.5859,51 a 70 años,1, 962.1840,552.6026,"lwr"
2017-02-01,Azúcar sulfitada,412.3622,>70 años,1, 904.6535,552.6026,"lwr"
2017-02-01,Azúcar sulfitada,634.8608,gestantes < 18 años,1,1392.7781,552.6026,"lwr"
2017-02-01,Azúcar sulfitada,631.4431,gestantes 19 a 30 años,1,1385.2802,552.6026,"lwr"
2017-02-01,Azúcar sulfitada,602.3895,gestantes 31 a 50 años,1,1321.5416,552.6026,"lwr"
2017-02-01,Azúcar sulfitada,642.4174,lactantes < 18 años,1,1409.3561,552.6026,"lwr"
2017-02-01,Azúcar sulfitada,638.9997,lactantes 19 a 30 años,1,1401.8583,552.6026,"lwr"
2017-02-01,Azúcar sulfitada,609.9462,lactantes 31 a 50 años,1,1338.1197,552.6026,"lwr"
2017-02-01,Azúcar sulfitada,279.7516,1 a 3 años,0, 613.7281,552.6026,"lwr"
2017-02-01,Azúcar sulfitada,361.8144,4 a 8 años,0, 793.7600,552.6026,"lwr"
2017-02-01,Azúcar sulfitada,505.4427,9 a 13 años,0,1108.8565,552.6026,"lwr"
2017-02-01,Azúcar sulfitada,691.8723,14 a 18 años,0,1517.8518,552.6026,"lwr"
2017-02-01,Azúcar sulfitada,710.2093,19 a 30 años,0,1558.0802,552.6026,"lwr"
2017-02-01,Azúcar sulfitada,672.7691,31 a 50 años,0,1475.9427,552.6026,"lwr"
2017-02-01,Azúcar sulfitada,546.8919,51 a 70 años,0,1199.7892,552.6026,"lwr"
2017-02-01,Azúcar sulfitada,510.2502,>70 años,0,1119.4033,552.6026,"lwr"
2017-02-01,Azúcar sulfitada,256.7016,1 a 3 años,1, 651.0170,638.8121,"upr"
