"fecha","cona_cost.Demo_Group","cona_cost.Sex","cona_cost.cost_day","cona_cost.Cost_1000kcal","scenario"
2014-04-01,gestantes 31 a 50 años,1,3778.0021,1579.7715,"hat"
2014-04-01,gestantes < 18 años,1,5874.5344,2330.7970,"hat"
2014-04-01,lactantes 19 a 30 años,1,2628.5731,1036.1649,"hat"
2014-04-01,lactantes 31 a 50 años,1,2575.6776,1063.6763,"hat"
2014-04-01,lactantes < 18 años,1,3015.5452,1182.3826,"hat"
2014-04-01,1 a 3 años,0,1525.2807,1373.3673,"hat"
2014-04-01,14 a 18 años,0,2957.8830,1076.8731,"hat"
2014-04-01,19 a 30 años,0,2701.5071, 958.1406,"hat"
2014-04-01,31 a 50 años,0,2568.8231, 961.7842,"hat"
2014-04-01,4 a 8 años,0,2020.0807,1406.3467,"hat"
2014-04-01,51 a 70 años,0,2632.0295,1212.2682,"hat"
2014-04-01,9 a 13 años,0,2594.3573,1292.9072,"hat"
2014-04-01,>70 años,0,2455.6835,1212.2682,"hat"
2014-05-01,1 a 3 años,1,1425.1748,1398.4565,"hat"
2014-05-01,14 a 18 años,1,2709.2688,1282.2267,"hat"
2014-05-01,19 a 30 años,1,2202.4407,1083.9696,"hat"
2014-05-01,31 a 50 años,1,2161.6662,1127.9319,"hat"
2014-05-01,4 a 8 años,1,1920.9489,1459.0536,"hat"
2014-05-01,51 a 70 años,1,2411.1701,1384.7859,"hat"
2014-05-01,9 a 13 años,1,2541.3215,1403.1093,"hat"
2014-05-01,>70 años,1,2387.9420,1458.6612,"hat"
2014-05-01,gestantes 19 a 30 años,1,3504.2916,1397.8982,"hat"
2014-05-01,gestantes 31 a 50 años,1,3783.2668,1581.9729,"hat"
2014-05-01,gestantes < 18 años,1,5839.5238,2316.9061,"hat"
2014-05-01,lactantes 19 a 30 años,1,2620.2090,1032.8678,"hat"
2014-05-01,lactantes 31 a 50 años,1,2566.9520,1060.0728,"hat"
2014-05-01,lactantes < 18 años,1,3008.2555,1179.5243,"hat"
2014-05-01,1 a 3 años,0,1528.6078,1376.3630,"hat"
2014-05-01,14 a 18 años,0,2954.2404,1075.5470,"hat"
2014-05-01,19 a 30 años,0,2694.7404, 955.7406,"hat"
2014-05-01,31 a 50 años,0,2563.4601, 959.7762,"hat"
2014-05-01,4 a 8 años,0,2022.3628,1407.9355,"hat"
2014-05-01,51 a 70 años,0,2627.6354,1210.2444,"hat"
2014-05-01,9 a 13 años,0,2593.5426,1292.5012,"hat"
2014-05-01,>70 años,0,2451.5838,1210.2444,"hat"
2014-06-01,1 a 3 años,1,1423.6033,1396.9145,"hat"
2014-06-01,14 a 18 años,1,2711.6807,1283.3682,"hat"
2014-06-01,19 a 30 años,1,2204.3294,1084.8991,"hat"
2014-06-01,31 a 50 años,1,2163.3777,1128.8249,"hat"
2014-06-01,4 a 8 años,1,1922.5282,1460.2532,"hat"
2014-06-01,51 a 70 años,1,2413.3028,1386.0107,"hat"
2014-06-01,9 a 13 años,1,2545.0188,1405.1506,"hat"
2014-06-01,>70 años,1,2389.3786,1459.5387,"hat"
2014-06-01,gestantes 19 a 30 años,1,3500.1767,1396.2567,"hat"
2014-06-01,gestantes 31 a 50 años,1,3763.8019,1573.8337,"hat"
2014-06-01,gestantes < 18 años,1,5791.4458,2297.8305,"hat"
2014-06-01,lactantes 19 a 30 años,1,2618.8691,1032.3397,"hat"
2014-06-01,lactantes 31 a 50 años,1,2565.3097,1059.3946,"hat"
2014-06-01,lactantes < 18 años,1,3008.7099,1179.7025,"hat"
2014-06-01,1 a 3 años,0,1526.3941,1374.3698,"hat"
2014-06-01,14 a 18 años,0,2958.0358,1076.9287,"hat"
2014-06-01,19 a 30 años,0,2695.3563, 955.9591,"hat"
