"Demo_Group","Sex","Person","cost_day","total_household","per_capita","per_capita_year","per_capita_month","ciudad","fecha"
"9 a 13 años",1,3,3564.24689587657,10382.1302051324,3460.71006837745,1263159.17495777,103821.302051324,"MEDELLÍN",17136
"31 a 50 años",0,1,3644.77334605987,10402.5825398536,3467.52751328453,1265647.54234885,104025.825398536,"MEDELLÍN",17167
"31 a 50 años",1,2,3186.36805586366,10402.5825398536,3467.52751328453,1265647.54234885,104025.825398536,"MEDELLÍN",17167
"9 a 13 años",1,3,3571.44113793007,10402.5825398536,3467.52751328453,1265647.54234885,104025.825398536,"MEDELLÍN",17167
"31 a 50 años",0,1,3667.32299848271,10459.1259857666,3486.37532858888,1272526.99493494,104591.259857666,"MEDELLÍN",17198
"31 a 50 años",1,2,3205.12658553329,10459.1259857666,3486.37532858888,1272526.99493494,104591.259857666,"MEDELLÍN",17198
"9 a 13 años",1,3,3586.67640175062,10459.1259857666,3486.37532858888,1272526.99493494,104591.259857666,"MEDELLÍN",17198
"31 a 50 años",0,1,3644.66102274799,10384.3965759373,3461.46552531243,1263434.91673904,103843.965759373,"MEDELLÍN",17226
"31 a 50 años",1,2,3177.72623461711,10384.3965759373,3461.46552531243,1263434.91673904,103843.965759373,"MEDELLÍN",17226
"9 a 13 años",1,3,3562.00931857219,10384.3965759373,3461.46552531243,1263434.91673904,103843.965759373,"MEDELLÍN",17226
"31 a 50 años",0,1,3660.04584102847,10408.039490738,3469.34649691268,1266311.47137313,104080.39490738,"MEDELLÍN",17257
"31 a 50 años",1,2,3181.24651388865,10408.039490738,3469.34649691268,1266311.47137313,104080.39490738,"MEDELLÍN",17257
"9 a 13 años",1,3,3566.74713582091,10408.039490738,3469.34649691268,1266311.47137313,104080.39490738,"MEDELLÍN",17257
"31 a 50 años",0,1,3660.9676208213,10365.3046937175,3455.10156457251,1261112.07106897,103653.046937175,"MEDELLÍN",17287
"31 a 50 años",1,2,3163.05068105465,10365.3046937175,3455.10156457251,1261112.07106897,103653.046937175,"MEDELLÍN",17287
"9 a 13 años",1,3,3541.28639184159,10365.3046937175,3455.10156457251,1261112.07106897,103653.046937175,"MEDELLÍN",17287
"31 a 50 años",0,1,3662.14024201182,10350.9158162182,3450.30527207272,1259361.42430654,103509.158162182,"MEDELLÍN",17318
"31 a 50 años",1,2,3156.85203880613,10350.9158162182,3450.30527207272,1259361.42430654,103509.158162182,"MEDELLÍN",17318
"9 a 13 años",1,3,3531.92353540021,10350.9158162182,3450.30527207272,1259361.42430654,103509.158162182,"MEDELLÍN",17318
"31 a 50 años",0,1,3651.81651199044,10337.0765849487,3445.69219498289,1257677.65116876,103370.765849487,"MEDELLÍN",17348
"31 a 50 años",1,2,3153.83797638139,10337.0765849487,3445.69219498289,1257677.65116876,103370.765849487,"MEDELLÍN",17348
"9 a 13 años",1,3,3531.42209657684,10337.0765849487,3445.69219498289,1257677.65116876,103370.765849487,"MEDELLÍN",17348
"31 a 50 años",0,1,3652.44275501598,10349.8201282311,3449.9400427437,1259228.11560145,103498.201282311,"MEDELLÍN",17379
"31 a 50 años",1,2,3162.30939521808,10349.8201282311,3449.9400427437,1259228.11560145,103498.201282311,"MEDELLÍN",17379
"9 a 13 años",1,3,3535.06797799704,10349.8201282311,3449.9400427437,1259228.11560145,103498.201282311,"MEDELLÍN",17379
"31 a 50 años",0,1,3632.43315876966,10321.2601572681,3440.42005242268,1255753.31913428,103212.601572681,"MEDELLÍN",17410
"31 a 50 años",1,2,3158.97726103299,10321.2601572681,3440.42005242268,1255753.31913428,103212.601572681,"MEDELLÍN",17410
"9 a 13 años",1,3,3529.8497374654,10321.2601572681,3440.42005242268,1255753.31913428,103212.601572681,"MEDELLÍN",17410
"31 a 50 años",0,1,3623.31574969953,10274.6632852399,3424.88776174663,1250084.03303752,102746.632852399,"MEDELLÍN",17440
"31 a 50 años",1,2,3140.26781864403,10274.6632852399,3424.88776174663,1250084.03303752,102746.632852399,"MEDELLÍN",17440
"9 a 13 años",1,3,3511.07971689632,10274.6632852399,3424.88776174663,1250084.03303752,102746.632852399,"MEDELLÍN",17440
"31 a 50 años",0,1,3620.45207849147,10279.3915114523,3426.46383715077,1250659.30056003,102793.915114523,"MEDELLÍN",17471
"31 a 50 años",1,2,3143.00385869777,10279.3915114523,3426.46383715077,1250659.30056003,102793.915114523,"MEDELLÍN",17471
"9 a 13 años",1,3,3515.93557426308,10279.3915114523,3426.46383715077,1250659.30056003,102793.915114523,"MEDELLÍN",17471
"31 a 50 años",0,1,3627.37209016565,10279.9510907579,3426.65036358597,1250727.38270888,102799.510907579,"MEDELLÍN",17501
"31 a 50 años",1,2,3143.2601489612,10279.9510907579,3426.65036358597,1250727.38270888,102799.510907579,"MEDELLÍN",17501
"9 a 13 años",1,3,3509.31885163105,10279.9510907579,3426.65036358597,1250727.38270888,102799.510907579,"MEDELLÍN",17501
"31 a 50 años",0,1,3622.29129889968,10265.5741930089,3421.8580643363,1248978.19348275,102655.741930089,"MEDELLÍN",17532
"31 a 50 años",1,2,3138.43482699564,10265.5741930089,3421.8580643363,1248978.19348275,102655.741930089,"MEDELLÍN",17532
"9 a 13 años",1,3,3504.84806711358,10265.5741930089,3421.8580643363,1248978.19348275,102655.741930089,"MEDELLÍN",17532
"31 a 50 años",0,1,3599.36238840688,10229.136720444,3409.71224014801,1244544.96765402,102291.36720444,"MEDELLÍN",17563
"31 a 50 años",1,2,3132.14797459926,10229.136720444,3409.71224014801,1244544.96765402,102291.36720444,"MEDELLÍN",17563
"9 a 13 años",1,3,3497.62635743789,10229.136720444,3409.71224014801,1244544.96765402,102291.36720444,"MEDELLÍN",17563
"31 a 50 años",0,1,3573.22749466054,10129.5090356341,3376.50301187804,1232423.59933548,101295.090356341,"MEDELLÍN",17591
"31 a 50 años",1,2,3096.60188930617,10129.5090356341,3376.50301187804,1232423.59933548,101295.090356341,"MEDELLÍN",17591
"9 a 13 años",1,3,3459.6796516674,10129.5090356341,3376.50301187804,1232423.59933548,101295.090356341,"MEDELLÍN",17591
"31 a 50 años",0,1,3605.70928092023,10242.4153696082,3414.13845653608,1246160.53663567,102424.153696082,"MEDELLÍN",17622
"31 a 50 años",1,2,3132.24228722058,10242.4153696082,3414.13845653608,1246160.53663567,102424.153696082,"MEDELLÍN",17622
"9 a 13 años",1,3,3504.46380146744,10242.4153696082,3414.13845653608,1246160.53663567,102424.153696082,"MEDELLÍN",17622
"31 a 50 años",0,1,3621.24009831873,10259.428968802,3419.80965626734,1248230.52453758,102594.28968802,"MEDELLÍN",17652
"31 a 50 años",1,2,3130.73970406,10259.428968802,3419.80965626734,1248230.52453758,102594.28968802,"MEDELLÍN",17652
"9 a 13 años",1,3,3507.44916642328,10259.428968802,3419.80965626734,1248230.52453758,102594.28968802,"MEDELLÍN",17652
