"Demo_Group","Sex","Person","cost_day","total_household","per_capita","per_capita_year","per_capita_month","ciudad","fecha"
"9 a 13 años",1,3,1696.3199850487,5992.71674018973,1997.57224672991,729113.870056417,59927.1674018973,"BOGOTÁ D.C.",19417
"31 a 50 años",0,1,2517.230613326,6030.46104213031,2010.1536807101,733706.093459188,60304.6104213031,"BOGOTÁ D.C.",19448
"31 a 50 años",1,2,1806.22640570086,6030.46104213031,2010.1536807101,733706.093459188,60304.6104213031,"BOGOTÁ D.C.",19448
"9 a 13 años",1,3,1707.00402310345,6030.46104213031,2010.1536807101,733706.093459188,60304.6104213031,"BOGOTÁ D.C.",19448
"31 a 50 años",0,1,2530.28492086966,6061.73489231203,2020.57829743734,737511.07856463,60617.3489231203,"BOGOTÁ D.C.",19478
"31 a 50 años",1,2,1815.59345966431,6061.73489231203,2020.57829743734,737511.07856463,60617.3489231203,"BOGOTÁ D.C.",19478
"9 a 13 años",1,3,1715.85651177806,6061.73489231203,2020.57829743734,737511.07856463,60617.3489231203,"BOGOTÁ D.C.",19478
"31 a 50 años",0,1,2500.42506798218,5990.20045338998,1996.73348446333,728807.721829114,59902.0045338998,"BOGOTÁ D.C.",19509
"31 a 50 años",1,2,1794.1676695638,5990.20045338998,1996.73348446333,728807.721829114,59902.0045338998,"BOGOTÁ D.C.",19509
"9 a 13 años",1,3,1695.607715844,5990.20045338998,1996.73348446333,728807.721829114,59902.0045338998,"BOGOTÁ D.C.",19509
"31 a 50 años",0,1,2491.27204775256,5968.27281131366,1989.42427043789,726139.858709829,59682.7281131366,"BOGOTÁ D.C.",19539
"31 a 50 años",1,2,1787.59996506222,5968.27281131366,1989.42427043789,726139.858709829,59682.7281131366,"BOGOTÁ D.C.",19539
"9 a 13 años",1,3,1689.40079849889,5968.27281131366,1989.42427043789,726139.858709829,59682.7281131366,"BOGOTÁ D.C.",19539
"31 a 50 años",0,1,2481.36877995748,5944.54782151263,1981.51594050421,723253.318284037,59445.4782151263,"BOGOTÁ D.C.",19570
"31 a 50 años",1,2,1780.49392412203,5944.54782151263,1981.51594050421,723253.318284037,59445.4782151263,"BOGOTÁ D.C.",19570
"9 a 13 años",1,3,1682.68511743312,5944.54782151263,1981.51594050421,723253.318284037,59445.4782151263,"BOGOTÁ D.C.",19570
"31 a 50 años",0,1,2480.16838386204,5941.67206517536,1980.55735505845,722903.434596336,59416.7206517536,"BOGOTÁ D.C.",19601
"31 a 50 años",1,2,1779.63258582692,5941.67206517536,1980.55735505845,722903.434596336,59416.7206517536,"BOGOTÁ D.C.",19601
"9 a 13 años",1,3,1681.8710954864,5941.67206517536,1980.55735505845,722903.434596336,59416.7206517536,"BOGOTÁ D.C.",19601
"31 a 50 años",0,1,2487.97095848624,5960.36448137689,1986.78816045896,725177.678567522,59603.6448137689,"BOGOTÁ D.C.",19631
"31 a 50 años",1,2,1785.2312847479,5960.36448137689,1986.78816045896,725177.678567522,59603.6448137689,"BOGOTÁ D.C.",19631
"9 a 13 años",1,3,1687.16223814276,5960.36448137689,1986.78816045896,725177.678567522,59603.6448137689,"BOGOTÁ D.C.",19631
"31 a 50 años",0,1,2487.22071092853,5958.56713367074,1986.18904455691,724959.001263273,59585.6713367074,"BOGOTÁ D.C.",19662
"31 a 50 años",1,2,1784.69294831485,5958.56713367074,1986.18904455691,724959.001263273,59585.6713367074,"BOGOTÁ D.C.",19662
"9 a 13 años",1,3,1686.65347442736,5958.56713367074,1986.18904455691,724959.001263273,59585.6713367074,"BOGOTÁ D.C.",19662
"31 a 50 años",0,1,2474.01635387101,5926.93381394222,1975.64460464741,721110.280696303,59269.3381394222,"BOGOTÁ D.C.",19692
"31 a 50 años",1,2,1775.21822706311,5926.93381394222,1975.64460464741,721110.280696303,59269.3381394222,"BOGOTÁ D.C.",19692
"9 a 13 años",1,3,1677.6992330081,5926.93381394222,1975.64460464741,721110.280696303,59269.3381394222,"BOGOTÁ D.C.",19692
"31 a 50 años",0,1,2488.12100800011,5960.72395092369,1986.90798364123,725221.414029049,59607.2395092369,"BOGOTÁ D.C.",19723
"31 a 50 años",1,2,1785.33895203618,5960.72395092369,1986.90798364123,725221.414029049,59607.2395092369,"BOGOTÁ D.C.",19723
"9 a 13 años",1,3,1687.26399088741,5960.72395092369,1986.90798364123,725221.414029049,59607.2395092369,"BOGOTÁ D.C.",19723
"31 a 50 años",0,1,2531.63536647896,6064.9701181961,2021.65670606537,737904.697713859,60649.701181961,"BOGOTÁ D.C.",19754
"31 a 50 años",1,2,1816.5624652477,6064.9701181961,2021.65670606537,737904.697713859,60649.701181961,"BOGOTÁ D.C.",19754
"9 a 13 años",1,3,1716.77228646944,6064.9701181961,2021.65670606537,737904.697713859,60649.701181961,"BOGOTÁ D.C.",19754
"31 a 50 años",0,1,2512.12892992041,6018.23907769691,2006.07969256564,732219.087786458,60182.3907769691,"BOGOTÁ D.C.",19783
"31 a 50 años",1,2,1802.56571794665,6018.23907769691,2006.07969256564,732219.087786458,60182.3907769691,"BOGOTÁ D.C.",19783
"9 a 13 años",1,3,1703.54442982986,6018.23907769691,2006.07969256564,732219.087786458,60182.3907769691,"BOGOTÁ D.C.",19783
"31 a 50 años",0,1,2510.77848431111,6015.00385181285,2005.00128393762,731825.46863723,60150.0385181285,"BOGOTÁ D.C.",19814
"31 a 50 años",1,2,1801.59671236327,6015.00385181285,2005.00128393762,731825.46863723,60150.0385181285,"BOGOTÁ D.C.",19814
"9 a 13 años",1,3,1702.62865513847,6015.00385181285,2005.00128393762,731825.46863723,60150.0385181285,"BOGOTÁ D.C.",19814
"31 a 50 años",0,1,2511.52873187269,6016.80119952828,2005.60039984276,732044.145942607,60168.0119952828,"BOGOTÁ D.C.",19844
"31 a 50 años",1,2,1802.1350487991,6016.80119952828,2005.60039984276,732044.145942607,60168.0119952828,"BOGOTÁ D.C.",19844
"9 a 13 años",1,3,1703.13741885649,6016.80119952828,2005.60039984276,732044.145942607,60168.0119952828,"BOGOTÁ D.C.",19844
"31 a 50 años",0,1,2527.13388112108,6054.18603193134,2018.06201064378,736592.63388498,60541.8603193134,"BOGOTÁ D.C.",19875
"31 a 50 años",1,2,1813.33244664105,6054.18603193134,2018.06201064378,736592.63388498,60541.8603193134,"BOGOTÁ D.C.",19875
"9 a 13 años",1,3,1713.71970416921,6054.18603193134,2018.06201064378,736592.63388498,60541.8603193134,"BOGOTÁ D.C.",19875
"31 a 50 años",0,1,2519.63140552074,6036.21255481413,2012.07085160471,734405.860835719,60362.1255481413,"BOGOTÁ D.C.",19905
"31 a 50 años",1,2,1807.94908229385,6036.21255481413,2012.07085160471,734405.860835719,60362.1255481413,"BOGOTÁ D.C.",19905
"9 a 13 años",1,3,1708.63206699953,6036.21255481413,2012.07085160471,734405.860835719,60362.1255481413,"BOGOTÁ D.C.",19905
"31 a 50 años",0,1,2486.92061190467,5957.84819458642,1985.94939819547,724871.530341348,59578.4819458642,"BOGOTÁ D.C.",19936
"31 a 50 años",1,2,1784.47761374107,5957.84819458642,1985.94939819547,724871.530341348,59578.4819458642,"BOGOTÁ D.C.",19936
"9 a 13 años",1,3,1686.44996894068,5957.84819458642,1985.94939819547,724871.530341348,59578.4819458642,"BOGOTÁ D.C.",19936
