"deciles","rate","gap","severity","model","ciudad","fecha"
"Decil 1",100,0.603826583321014,0.387430296898332,"CoRD","BOGOTÁ D.C.",17805
"Decil 2",100,0.305126326638619,0.0985638477035179,"CoRD","BOGOTÁ D.C.",17805
"Decil 3",100,0.11957091060129,0.018966324552252,"CoRD","BOGOTÁ D.C.",17805
"Decil 4",8.17843866171004,0.000650941104955433,7.57286613633518e-06,"CoRD","BOGOTÁ D.C.",17805
"Decil 5",0,0,0,"CoRD","BOGOTÁ D.C.",17805
"Decil 6",0,0,0,"CoRD","BOGOTÁ D.C.",17805
"Decil 7",0,0,0,"CoRD","BOGOTÁ D.C.",17805
"Decil 8",0,0,0,"CoRD","BOGOTÁ D.C.",17805
"Decil 9",0,0,0,"CoRD","BOGOTÁ D.C.",17805
"Decil 10",0,0,0,"CoRD","BOGOTÁ D.C.",17805
"Decil 1",16.796875,0.0885971413203622,0.070105326815762,"CoCA","BOGOTÁ D.C.",17836
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",17836
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",17836
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",17836
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",17836
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",17836
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",17836
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",17836
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",17836
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",17836
"Decil 1",97.65625,0.334909943650324,0.190746409234349,"CoNA","BOGOTÁ D.C.",17836
"Decil 2",0,0,0,"CoNA","BOGOTÁ D.C.",17836
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",17836
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",17836
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",17836
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",17836
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",17836
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",17836
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",17836
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",17836
"Decil 1",100,0.627443517632438,0.418402835478141,"CoRD","BOGOTÁ D.C.",17836
"Decil 2",100,0.311334379723663,0.101402662138095,"CoRD","BOGOTÁ D.C.",17836
