"deciles","rate","gap","severity","model","ciudad","trimestre"
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.","2020Q2"
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.","2020Q2"
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.","2020Q2"
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.","2020Q2"
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.","2020Q2"
"Decil 1",57.6666666666667,0.571637715637478,0.566903637686132,"CoNA","BOGOTÁ D.C.","2020Q2"
"Decil 2",49,0.351916214101568,0.259548729398477,"CoNA","BOGOTÁ D.C.","2020Q2"
"Decil 3",44.8160535117057,0.138372945263227,0.0488423836214093,"CoNA","BOGOTÁ D.C.","2020Q2"
"Decil 4",27.4247491638796,0.0171799006399305,0.00130841554185686,"CoNA","BOGOTÁ D.C.","2020Q2"
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.","2020Q2"
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.","2020Q2"
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.","2020Q2"
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.","2020Q2"
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.","2020Q2"
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.","2020Q2"
"Decil 1",57.6666666666667,0.575039075820918,0.57344237162375,"CoRD","BOGOTÁ D.C.","2020Q2"
"Decil 2",49,0.445309983221133,0.405408546463575,"CoRD","BOGOTÁ D.C.","2020Q2"
"Decil 3",44.8160535117057,0.347899577623933,0.270709568069972,"CoRD","BOGOTÁ D.C.","2020Q2"
"Decil 4",62.2073578595318,0.414133440204996,0.276350187562089,"CoRD","BOGOTÁ D.C.","2020Q2"
"Decil 5",43.4782608695652,0.241855326402354,0.135146305808302,"CoRD","BOGOTÁ D.C.","2020Q2"
"Decil 6",39.4648829431438,0.160748063069124,0.0665860093164723,"CoRD","BOGOTÁ D.C.","2020Q2"
"Decil 7",51.1705685618729,0.135318569694224,0.0378642596581056,"CoRD","BOGOTÁ D.C.","2020Q2"
"Decil 8",32.7759197324415,0.0266494561199406,0.00271477623291665,"CoRD","BOGOTÁ D.C.","2020Q2"
"Decil 9",5.68561872909699,0.001756279975505,7.07584312321565e-05,"CoRD","BOGOTÁ D.C.","2020Q2"
"Decil 10",0,0,0,"CoRD","BOGOTÁ D.C.","2020Q2"
"Decil 1",54.7169811320755,0.391927984299082,0.337461501033296,"CoCA","BOGOTÁ D.C.","2020Q3"
"Decil 2",2.27272727272727,0.00072031547341382,2.94807072928693e-05,"CoCA","BOGOTÁ D.C.","2020Q3"
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.","2020Q3"
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.","2020Q3"
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.","2020Q3"
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.","2020Q3"
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.","2020Q3"
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.","2020Q3"
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.","2020Q3"
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.","2020Q3"
