"Demo_Group","Sex","Person","cost_day","total_household","per_capita","per_capita_year","per_capita_month","ciudad","fecha","person"
"31 a 50 años",1,2,3742.26773215986,11976.1927960751,3992.06426535836,1457103.4568558,119761.927960751,"MEDELLIN",2009-09-01,2
"9 a 13 años",1,3,3655.52435592441,11976.1927960751,3992.06426535836,1457103.4568558,119761.927960751,"MEDELLIN",2009-09-01,3
"31 a 50 años",0,1,4553.26374964569,11909.1669201562,3969.72230671872,1448948.64195233,119091.669201562,"MEDELLIN",2009-10-01,1
"31 a 50 años",1,2,3710.77775449441,11909.1669201562,3969.72230671872,1448948.64195233,119091.669201562,"MEDELLIN",2009-10-01,2
"9 a 13 años",1,3,3645.12541601605,11909.1669201562,3969.72230671872,1448948.64195233,119091.669201562,"MEDELLIN",2009-10-01,3
"31 a 50 años",0,1,4452.7428098173,11809.7843655856,3936.59478852853,1436857.09781292,118097.843655856,"MEDELLIN",2009-11-01,1
"31 a 50 años",1,2,3716.78852922942,11809.7843655856,3936.59478852853,1436857.09781292,118097.843655856,"MEDELLIN",2009-11-01,2
"9 a 13 años",1,3,3640.25302653889,11809.7843655856,3936.59478852853,1436857.09781292,118097.843655856,"MEDELLIN",2009-11-01,3
"31 a 50 años",0,1,4472.83013967339,11839.0562411022,3946.3520803674,1440418.5093341,118390.562411022,"MEDELLIN",2009-12-01,1
"31 a 50 años",1,2,3713.97829852061,11839.0562411022,3946.3520803674,1440418.5093341,118390.562411022,"MEDELLIN",2009-12-01,2
"9 a 13 años",1,3,3652.24780290821,11839.0562411022,3946.3520803674,1440418.5093341,118390.562411022,"MEDELLIN",2009-12-01,3
"31 a 50 años",0,1,4451.49174067468,11808.4876425098,3936.16254750326,1436699.32983869,118084.876425098,"MEDELLIN",2010-01-01,1
"31 a 50 años",1,2,3709.36268642643,11808.4876425098,3936.16254750326,1436699.32983869,118084.876425098,"MEDELLIN",2010-01-01,2
"9 a 13 años",1,3,3647.63321540868,11808.4876425098,3936.16254750326,1436699.32983869,118084.876425098,"MEDELLIN",2010-01-01,3
"31 a 50 años",0,1,4407.44797609029,11586.0887821859,3862.02959406197,1409640.80183262,115860.887821859,"MEDELLIN",2010-02-01,1
"31 a 50 años",1,2,3572.83714476568,11586.0887821859,3862.02959406197,1409640.80183262,115860.887821859,"MEDELLIN",2010-02-01,2
"9 a 13 años",1,3,3605.80366132993,11586.0887821859,3862.02959406197,1409640.80183262,115860.887821859,"MEDELLIN",2010-02-01,3
"31 a 50 años",0,1,4348.49575777046,11495.4794285894,3831.82647619646,1398616.66381171,114954.794285894,"MEDELLIN",2010-03-01,1
"31 a 50 años",1,2,3552.58168415498,11495.4794285894,3831.82647619646,1398616.66381171,114954.794285894,"MEDELLIN",2010-03-01,2
"9 a 13 años",1,3,3594.40198666394,11495.4794285894,3831.82647619646,1398616.66381171,114954.794285894,"MEDELLIN",2010-03-01,3
