deciles,rate,gap,severity,model,ciudad,fecha,year,mes
Decil 9,0,0,0,CoRD,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 1,27.328171820461872,0.10277438782828505,0.06248187697588944,CoCA,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 10,0,0,0,CoCA,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 2,0,0,0,CoCA,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 3,0,0,0,CoCA,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 4,0,0,0,CoCA,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 5,0,0,0,CoCA,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 6,0,0,0,CoCA,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 7,0,0,0,CoCA,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 8,0,0,0,CoCA,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 9,0,0,0,CoCA,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 1,70.28350501233773,0.27629086911068634,0.15130474142706518,CoNA,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 10,0,0,0,CoNA,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 2,0,0,0,CoNA,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 3,0,0,0,CoNA,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 4,0,0,0,CoNA,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 5,0,0,0,CoNA,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 6,0,0,0,CoNA,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 7,0,0,0,CoNA,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 8,0,0,0,CoNA,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 9,0,0,0,CoNA,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 1,100,0.5006861664413746,0.29215642352078175,CoRD,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 10,0,0,0,CoRD,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 2,80.00458206860796,0.0779123187681898,0.010234324195270973,CoRD,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 3,12.713750856638725,0.002538398354687683,5.9514490881829074e-5,CoRD,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 4,0,0,0,CoRD,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 5,0,0,0,CoRD,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 6,0,0,0,CoRD,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 7,0,0,0,CoRD,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 8,0,0,0,CoRD,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 9,0,0,0,CoRD,BOGOTÁ D.C.,2019-09-01,2019,09
Decil 1,15.365208648183259,0.06881564540302187,0.04027079957610322,CoCA,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 10,0,0,0,CoCA,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 2,0,0,0,CoCA,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 3,0,0,0,CoCA,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 4,0,0,0,CoCA,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 5,0,0,0,CoCA,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 6,0,0,0,CoCA,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 7,0,0,0,CoCA,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 8,0,0,0,CoCA,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 9,0,0,0,CoCA,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 1,61.767078629504965,0.17828440608953497,0.09217990261693254,CoNA,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 10,0,0,0,CoNA,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 2,0,0,0,CoNA,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 3,0,0,0,CoNA,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 4,0,0,0,CoNA,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 5,0,0,0,CoNA,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 6,0,0,0,CoNA,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 7,0,0,0,CoNA,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 8,0,0,0,CoNA,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 9,0,0,0,CoNA,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 1,100,0.42137376588109227,0.21503586487750365,CoRD,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 10,0,0,0,CoRD,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 2,46.02530070126509,0.037215930530234975,0.004019392715630659,CoRD,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 3,0,0,0,CoRD,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 4,0,0,0,CoRD,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 5,0,0,0,CoRD,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 6,0,0,0,CoRD,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 7,0,0,0,CoRD,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 8,0,0,0,CoRD,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 9,0,0,0,CoRD,BOGOTÁ D.C.,2019-10-01,2019,10
Decil 1,23.9580430526518,0.08797596489441963,0.05975280231419044,CoCA,BOGOTÁ D.C.,2019-11-01,2019,11
Decil 10,0,0,0,CoCA,BOGOTÁ D.C.,2019-11-01,2019,11
Decil 2,0,0,0,CoCA,BOGOTÁ D.C.,2019-11-01,2019,11
Decil 3,0,0,0,CoCA,BOGOTÁ D.C.,2019-11-01,2019,11
Decil 4,0,0,0,CoCA,BOGOTÁ D.C.,2019-11-01,2019,11
Decil 5,0,0,0,CoCA,BOGOTÁ D.C.,2019-11-01,2019,11
Decil 6,0,0,0,CoCA,BOGOTÁ D.C.,2019-11-01,2019,11
