Demo_Group,Sex,Person,cost_day,total_household,per_capita,per_capita_year,per_capita_month,ciudad,fecha,escenario
9 a 13 años,1,3,1598.1500436720187,5645.904431040048,1881.9681436800158,686918.3724432058,56459.04431040047,CALI,2022-01-01,q3
31 a 50 años,0,1,2144.0361668284017,5136.409238203794,1712.136412734598,624929.7906481283,51364.09238203794,CALI,2022-02-01,q1
31 a 50 años,1,2,1538.4425720876818,5136.409238203794,1712.136412734598,624929.7906481283,51364.09238203794,CALI,2022-02-01,q1
9 a 13 años,1,3,1453.9304992877105,5136.409238203794,1712.136412734598,624929.7906481283,51364.09238203794,CALI,2022-02-01,q1
31 a 50 años,0,1,2305.4658698463336,5523.141995202181,1841.0473317340602,671982.276082932,55231.41995202181,CALI,2022-02-01,q2
31 a 50 años,1,2,1654.2756589379069,5523.141995202181,1841.0473317340602,671982.276082932,55231.41995202181,CALI,2022-02-01,q2
9 a 13 años,1,3,1563.4004664179402,5523.141995202181,1841.0473317340602,671982.276082932,55231.41995202181,CALI,2022-02-01,q2
31 a 50 años,0,1,2381.646637782047,5705.646192777023,1901.8820642590078,694186.9534545379,57056.46192777024,CALI,2022-02-01,q3
31 a 50 años,1,2,1708.9387930677772,5705.646192777023,1901.8820642590078,694186.9534545379,57056.46192777024,CALI,2022-02-01,q3
9 a 13 años,1,3,1615.0607619271987,5705.646192777023,1901.8820642590078,694186.9534545379,57056.46192777024,CALI,2022-02-01,q3
31 a 50 años,0,1,2152.8307884107135,5157.478274370621,1719.159424790207,627493.1900484256,51574.78274370621,CALI,2022-03-01,q1
31 a 50 años,1,2,1544.7531094083483,5157.478274370621,1719.159424790207,627493.1900484256,51574.78274370621,CALI,2022-03-01,q1
9 a 13 años,1,3,1459.8943765515592,5157.478274370621,1719.159424790207,627493.1900484256,51574.78274370621,CALI,2022-03-01,q1
31 a 50 años,0,1,2314.922659900913,5545.797370401355,1848.5991234671183,674738.6800654982,55457.97370401355,CALI,2022-03-01,q2
31 a 50 años,1,2,1661.06133197848,5545.797370401355,1848.5991234671183,674738.6800654982,55457.97370401355,CALI,2022-03-01,q2
9 a 13 años,1,3,1569.8133785219618,5545.797370401355,1848.5991234671183,674738.6800654982,55457.97370401355,CALI,2022-03-01,q2
31 a 50 años,0,1,2391.41591371472,5729.050181910924,1909.683393970308,697034.4387991624,57290.501819109246,CALI,2022-03-01,q3
31 a 50 años,1,2,1715.9486888082617,5729.050181910924,1909.683393970308,697034.4387991624,57290.501819109246,CALI,2022-03-01,q3
9 a 13 años,1,3,1621.6855793879422,5729.050181910924,1909.683393970308,697034.4387991624,57290.501819109246,CALI,2022-03-01,q3
31 a 50 años,0,1,2153.293663232496,5158.587171014959,1719.5290570049863,627628.10580682,51585.871710149586,CALI,2022-04-01,q1
31 a 50 años,1,2,1545.0852429527333,5158.587171014959,1719.5290570049863,627628.10580682,51585.871710149586,CALI,2022-04-01,q1
9 a 13 años,1,3,1460.2082648297298,5158.587171014959,1719.5290570049863,627628.10580682,51585.871710149586,CALI,2022-04-01,q1
31 a 50 años,0,1,2315.4203856932586,5546.989758569731,1848.9965861899102,674883.7539593172,55469.897585697305,CALI,2022-04-01,q2
31 a 50 años,1,2,1661.4184726648255,5546.989758569731,1848.9965861899102,674883.7539593172,55469.897585697305,CALI,2022-04-01,q2
9 a 13 años,1,3,1570.1509002116463,5546.989758569731,1848.9965861899102,674883.7539593172,55469.897585697305,CALI,2022-04-01,q2
31 a 50 años,0,1,2391.930086132413,5730.28197081315,1910.09399027105,697184.3064489332,57302.8197081315,CALI,2022-04-01,q3
31 a 50 años,1,2,1716.3176306894725,5730.28197081315,1910.09399027105,697184.3064489332,57302.8197081315,CALI,2022-04-01,q3
9 a 13 años,1,3,1622.0342539912642,5730.28197081315,1910.09399027105,697184.3064489332,57302.8197081315,CALI,2022-04-01,q3
31 a 50 años,0,1,2425.926932287655,5811.727292194966,1937.2424307316553,707093.4872170542,58117.27292194966,CALI,2022-05-01,q1
31 a 50 años,1,2,1740.7118998959045,5811.727292194966,1937.2424307316553,707093.4872170542,58117.27292194966,CALI,2022-05-01,q1
9 a 13 años,1,3,1645.0884600114066,5811.727292194966,1937.2424307316553,707093.4872170542,58117.27292194966,CALI,2022-05-01,q1
31 a 50 años,0,1,2608.580877346637,6249.30638965168,2083.102129883893,760332.277407621,62493.0638965168,CALI,2022-05-01,q2
31 a 50 años,1,2,1871.7743368948943,6249.30638965168,2083.102129883893,760332.277407621,62493.0638965168,CALI,2022-05-01,q2
9 a 13 años,1,3,1768.9511754101486,6249.30638965168,2083.102129883893,760332.277407621,62493.0638965168,CALI,2022-05-01,q2
31 a 50 años,0,1,2694.7776400277216,6455.805633922039,2151.9352113073464,785456.3521271815,64558.05633922039,CALI,2022-05-01,q3
31 a 50 años,1,2,1933.6243986319043,6455.805633922039,2151.9352113073464,785456.3521271815,64558.05633922039,CALI,2022-05-01,q3
9 a 13 años,1,3,1827.4035952624135,6455.805633922039,2151.9352113073464,785456.3521271815,64558.05633922039,CALI,2022-05-01,q3
31 a 50 años,0,1,2645.329597027164,6337.34429972968,2112.4480999098932,771043.556467111,63373.4429972968,CALI,2022-06-01,q1
31 a 50 años,1,2,1898.143199370694,6337.34429972968,2112.4480999098932,771043.556467111,63373.4429972968,CALI,2022-06-01,q1
9 a 13 años,1,3,1793.8715033318222,6337.34429972968,2112.4480999098932,771043.556467111,63373.4429972968,CALI,2022-06-01,q1
31 a 50 años,0,1,2834.827934348031,6791.320321915439,2263.7734406384798,826277.3058330452,67913.2032191544,CALI,2022-06-01,q2
31 a 50 años,1,2,2034.1167962645877,6791.320321915439,2263.7734406384798,826277.3058330452,67913.2032191544,CALI,2022-06-01,q2
9 a 13 años,1,3,1922.3755913028208,6791.320321915439,2263.7734406384798,826277.3058330452,67913.2032191544,CALI,2022-06-01,q2
31 a 50 años,0,1,2934.940181494381,7031.156514539241,2343.718838179747,855457.3759356076,70311.56514539241,CALI,2022-06-01,q3
31 a 50 años,1,2,2105.9518452158095,7031.156514539241,2343.718838179747,855457.3759356076,70311.56514539241,CALI,2022-06-01,q3
9 a 13 años,1,3,1990.26448782905,7031.156514539241,2343.718838179747,855457.3759356076,70311.56514539241,CALI,2022-06-01,q3
31 a 50 años,0,1,2778.174670401892,6655.597635512344,2218.5325451707813,809764.3789873351,66555.97635512344,CALI,2022-07-01,q1
31 a 50 años,1,2,1993.4655262669412,6655.597635512344,2218.5325451707813,809764.3789873351,66555.97635512344,CALI,2022-07-01,q1
9 a 13 años,1,3,1883.9574388435108,6655.597635512344,2218.5325451707813,809764.3789873351,66555.97635512344,CALI,2022-07-01,q1
31 a 50 años,0,1,2984.615075521361,7150.161309577008,2383.387103192336,869936.2926652026,71501.61309577008,CALI,2022-07-01,q2
31 a 50 años,1,2,2141.595820311667,7150.161309577008,2383.387103192336,869936.2926652026,71501.61309577008,CALI,2022-07-01,q2
9 a 13 años,1,3,2023.9504137439799,7150.161309577008,2383.387103192336,869936.2926652026,71501.61309577008,CALI,2022-07-01,q2
31 a 50 años,0,1,3086.0628497347757,7393.196988138256,2464.3989960460854,899505.6335568212,73931.96988138257,CALI,2022-07-01,q3
31 a 50 años,1,2,2214.3891701199063,7393.196988138256,2464.3989960460854,899505.6335568212,73931.96988138257,CALI,2022-07-01,q3
9 a 13 años,1,3,2092.744968283573,7393.196988138256,2464.3989960460854,899505.6335568212,73931.96988138257,CALI,2022-07-01,q3
31 a 50 años,0,1,2962.088483954183,7096.194965715349,2365.3983219051165,863370.3874953676,70961.9496571535,CALI,2022-08-01,q1
31 a 50 años,1,2,2125.4319756866753,7096.194965715349,2365.3983219051165,863370.3874953676,70961.9496571535,CALI,2022-08-01,q1
9 a 13 años,1,3,2008.6745060744902,7096.194965715349,2365.3983219051165,863370.3874953676,70961.9496571535,CALI,2022-08-01,q1
31 a 50 años,0,1,3105.184001156141,7439.005011494074,2479.6683371646914,905078.9430651123,74390.05011494074,CALI,2022-08-01,q2
31 a 50 años,1,2,2228.109457971897,7439.005011494074,2479.6683371646914,905078.9430651123,74390.05011494074,CALI,2022-08-01,q2
