Demo_Group,Sex,Person,cost_day,total_household,per_capita,per_capita_year,per_capita_month,ciudad,fecha,escenario
9 a 13 años,1,3,3673.4237959414268,11361.479869240571,3787.1599564135236,1382313.384090936,113614.7986924057,MEDELLÍN,2021-02-01,q2
31 a 50 años,0,1,4231.638951750689,12063.75158639113,4021.2505287970434,1467756.443010921,120637.5158639113,MEDELLÍN,2021-02-01,q3
31 a 50 años,1,2,3968.020326035723,12063.75158639113,4021.2505287970434,1467756.443010921,120637.5158639113,MEDELLÍN,2021-02-01,q3
9 a 13 años,1,3,3864.092308604719,12063.75158639113,4021.2505287970434,1467756.443010921,120637.5158639113,MEDELLÍN,2021-02-01,q3
31 a 50 años,0,1,3801.1490990386305,11032.111982542883,3677.3706608476277,1342240.291209384,110321.11982542883,MEDELLÍN,2021-03-01,q1
31 a 50 años,1,2,3653.480303008894,11032.111982542883,3677.3706608476277,1342240.291209384,110321.11982542883,MEDELLÍN,2021-03-01,q1
9 a 13 años,1,3,3577.4825804953593,11032.111982542883,3677.3706608476277,1342240.291209384,110321.11982542883,MEDELLÍN,2021-03-01,q1
31 a 50 años,0,1,3955.8270852629116,11388.9681408982,3796.322713632733,1385657.7904759475,113889.681408982,MEDELLÍN,2021-03-01,q2
31 a 50 años,1,2,3751.5591620023724,11388.9681408982,3796.322713632733,1385657.7904759475,113889.681408982,MEDELLÍN,2021-03-01,q2
9 a 13 años,1,3,3681.5818936329147,11388.9681408982,3796.322713632733,1385657.7904759475,113889.681408982,MEDELLÍN,2021-03-01,q2
31 a 50 años,0,1,4196.397757566042,12044.445451552583,4014.815150517528,1465407.5299388976,120444.45451552584,MEDELLÍN,2021-03-01,q3
31 a 50 años,1,2,3975.1689433062334,12044.445451552583,4014.815150517528,1465407.5299388976,120444.45451552584,MEDELLÍN,2021-03-01,q3
9 a 13 años,1,3,3872.878750680307,12044.445451552583,4014.815150517528,1465407.5299388976,120444.45451552584,MEDELLÍN,2021-03-01,q3
31 a 50 años,0,1,3849.9274624893847,11161.255377261768,3720.418459087256,1357952.7375668485,111612.55377261768,MEDELLÍN,2021-04-01,q1
31 a 50 años,1,2,3682.1553045324317,11161.255377261768,3720.418459087256,1357952.7375668485,111612.55377261768,MEDELLÍN,2021-04-01,q1
9 a 13 años,1,3,3629.1726102399516,11161.255377261768,3720.418459087256,1357952.7375668485,111612.55377261768,MEDELLÍN,2021-04-01,q1
31 a 50 años,0,1,4009.0530421726135,11526.539340305597,3842.1797801018656,1402395.6197371809,115265.39340305596,MEDELLÍN,2021-04-01,q2
31 a 50 años,1,2,3779.7430652587122,11526.539340305597,3842.1797801018656,1402395.6197371809,115265.39340305596,MEDELLÍN,2021-04-01,q2
9 a 13 años,1,3,3737.7432328742702,11526.539340305597,3842.1797801018656,1402395.6197371809,115265.39340305596,MEDELLÍN,2021-04-01,q2
31 a 50 años,0,1,4215.837464639589,12153.756067371072,4051.252022457024,1478706.9881968137,121537.56067371072,MEDELLÍN,2021-04-01,q3
31 a 50 años,1,2,4005.6637256325207,12153.756067371072,4051.252022457024,1478706.9881968137,121537.56067371072,MEDELLÍN,2021-04-01,q3
9 a 13 años,1,3,3932.254877098963,12153.756067371072,4051.252022457024,1478706.9881968137,121537.56067371072,MEDELLÍN,2021-04-01,q3
31 a 50 años,0,1,4064.6110065819425,11729.57902346741,3909.8596744891365,1427098.7811885348,117295.79023467409,MEDELLÍN,2021-05-01,q1
31 a 50 años,1,2,3850.2455882485065,11729.57902346741,3909.8596744891365,1427098.7811885348,117295.79023467409,MEDELLÍN,2021-05-01,q1
9 a 13 años,1,3,3814.7224286369596,11729.57902346741,3909.8596744891365,1427098.7811885348,117295.79023467409,MEDELLÍN,2021-05-01,q1
31 a 50 años,0,1,4179.402015381214,12062.934957079317,4020.978319026439,1467657.08644465,120629.34957079316,MEDELLÍN,2021-05-01,q2
31 a 50 años,1,2,3952.6169279933724,12062.934957079317,4020.978319026439,1467657.08644465,120629.34957079316,MEDELLÍN,2021-05-01,q2
9 a 13 años,1,3,3930.9160137047293,12062.934957079317,4020.978319026439,1467657.08644465,120629.34957079316,MEDELLÍN,2021-05-01,q2
31 a 50 años,0,1,4380.889581547214,12715.456991712726,4238.485663904242,1547047.2673250483,127154.56991712726,MEDELLÍN,2021-05-01,q3
31 a 50 años,1,2,4194.306017202572,12715.456991712726,4238.485663904242,1547047.2673250483,127154.56991712726,MEDELLÍN,2021-05-01,q3
9 a 13 años,1,3,4140.261392962941,12715.456991712726,4238.485663904242,1547047.2673250483,127154.56991712726,MEDELLÍN,2021-05-01,q3
31 a 50 años,0,1,4335.222744023871,12321.506067233382,4107.168689077794,1499116.5715133946,123215.06067233381,MEDELLÍN,2021-06-01,q1
31 a 50 años,1,2,4058.9752508241863,12321.506067233382,4107.168689077794,1499116.5715133946,123215.06067233381,MEDELLÍN,2021-06-01,q1
